Id. de la fila,Id. del pedido,Fecha de pedido,Fecha del envío,Método de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Ventas,Cantidad
5229,MX-2021-164266,9/01/2021,3/01/2021,Estándar,89494186,Asís Aguilera,Empresa,Soyapango,San Salvador,El Salvador,Centro,TEC-AC-10002957,Tecnología,Accesorios,"Belkin Memoria USB, Negro",562,2
5227,MX-2021-164266,9/01/2021,3/01/2021,Estándar,89494186,Asís Aguilera,Empresa,Soyapango,San Salvador,El Salvador,Centro,TEC-CO-10003736,Tecnología,Copiadoras,"Brother Fotocopiadora con fax, 2",3822.1404,3
8714,US-2021-156699,9/01/2021,7/01/2021,Rápido,66195743,Cora Sánchez,Cliente,San Miguelito,Panamá,Panamá,Centro,MAT-GR-10004309,Material de oficina,Grapas,"Stockwell Pasadores, Tamaños variados",182.88,4
2419,MX-2021-164868,10/01/2021,7/01/2021,Rápido,88667764,Isaac Leyva,Empresa,Hermosillo,Sonora,México,Norte,MAT-AL-10000750,Material de oficina,Almacenamiento,"Tenex Caja, Tamaño completo",771.4,7
7905,US-2021-115574,10/01/2021,10/01/2021,Mismo día,45058158,Clementino Leiva,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-AC-10002320,Tecnología,Accesorios,"Logitech Tarjeta de memoria, Económico",1240.56,3
5288,MX-2021-117324,11/01/2021,7/01/2021,Estándar,48238174,Adán Vera,Empresa,Huehuetenango,Huehuetenango,Guatemala,Centro,MOB-SI-10004087,Mobiliario,Sillas,"Office Star Taburete, 2",2349.2,2
9917,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto León,Cliente,Apodaca,Nuevo León,México,Norte,TEC-AC-10001300,Tecnología,Accesorios,"SanDisk Tarjeta de memoria, Negro",2252.4,3
9914,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto León,Cliente,Apodaca,Nuevo León,México,Norte,MOB-SI-10002108,Mobiliario,Sillas,"Novimex Silla plegable, 2",1802.24,4
9918,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto León,Cliente,Apodaca,Nuevo León,México,Norte,MOB-MO-10004338,Mobiliario,Mobiliario,"Advantus Marco de foto, Duradero",400.08,2
9915,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto León,Cliente,Apodaca,Nuevo León,México,Norte,TEC-TE-10003172,Tecnología,Teléfonos,"Motorola Auriculares, Tamaño completo",4321.6,8
9916,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto León,Cliente,Apodaca,Nuevo León,México,Norte,MAT-CA-10004211,Material de oficina,Carpetas,"Cardinal Carpeta, Transparente",265.8,3
5158,MX-2021-121104,13/01/2021,6/01/2021,Estándar,47034989,Domingo Rivero,Cliente,Nueva Gerona,Isla de la Juventud,Cuba,Caribe,MAT-SO-10000132,Material de oficina,Sobres,"Kraft Sobre empresarial, Plateado",1507.2,12
9160,US-2021-115658,13/01/2021,7/01/2021,Estándar,93928091,Alejo Lugo,Cliente,Santo Domingo,Distrito Nacional,República Dominicana,Caribe,MAT-CA-10004046,Material de oficina,Carpetas,"Acco Cubierta de carpeta, Duradero",237.12,3
3951,MX-2021-167514,13/01/2021,10/01/2021,Rápido,20477078,Elías Macías,Empresa,Medellín,Antioquia,Colombia,Sur,TEC-TE-10003910,Tecnología,Teléfonos,"Nokia Teléfono inteligente, Azul",1642,2
1501,MX-2021-124002,14/01/2021,9/01/2021,Estándar,83078755,Virgilio Puertas,Pequeña empresa,Guarapari,Espíritu Santo,Brasil,Sur,MAT-GR-10002741,Material de oficina,Grapas,"Stockwell Chinchetas, Paquete de 12",172.8,2
1500,MX-2021-124002,14/01/2021,9/01/2021,Estándar,83078755,Virgilio Puertas,Pequeña empresa,Guarapari,Espíritu Santo,Brasil,Sur,TEC-TE-10002843,Tecnología,Teléfonos,"Apple Cargador, Azul",33931.2,8
1503,MX-2021-124002,14/01/2021,9/01/2021,Estándar,83078755,Virgilio Puertas,Pequeña empresa,Guarapari,Espíritu Santo,Brasil,Sur,TEC-TE-10002972,Tecnología,Teléfonos,"Apple Teléfono inteligente, Azul",1644,2
1502,MX-2021-124002,14/01/2021,9/01/2021,Estándar,83078755,Virgilio Puertas,Pequeña empresa,Guarapari,Espíritu Santo,Brasil,Sur,MAT-SO-10002308,Material de oficina,Sobres,"Kraft Sobre de tipo Manila, Reciclado",674.4,4
2522,MX-2021-169866,16/01/2021,10/01/2021,Estándar,54666771,Olaya Torres,Cliente,Guadalajara,Jalisco,México,Norte,MOB-SI-10003504,Mobiliario,Sillas,"SAFCO Silla plegable, Rojo",1371.36,3
976,MX-2021-111122,16/01/2021,16/01/2021,Mismo día,45177562,María Acosta,Pequeña empresa,Irapuato,Guanajuato,México,Norte,TEC-CO-10000553,Tecnología,Copiadoras,"Sharp Tinta, Color",3349.288,4
975,MX-2021-111122,16/01/2021,16/01/2021,Mismo día,45177562,María Acosta,Pequeña empresa,Irapuato,Guanajuato,México,Norte,MAT-AL-10004728,Material de oficina,Almacenamiento,"Rogers Archivador móvil, Industrial",2841.6,3
3492,MX-2021-157770,17/01/2021,10/01/2021,Estándar,36727795,Serafín Girón,Empresa,Monterrey,Nuevo León,México,Norte,MOB-LI-10002270,Mobiliario,Librerías,"Ikea Conjunto de estantes, Convencional",1816.96,2
5703,MX-2021-128398,18/01/2021,14/01/2021,Estándar,65467548,Gustavo Farías,Cliente,San Cristóbal de Las Casas,Chiapas,México,Norte,MAT-AR-10003352,Material de oficina,Arte,"Stanley Libreta de dibujo, Metal",3655.2,12
10034,US-2021-126207,18/01/2021,17/01/2021,Mismo día,74828323,Julio Corral,Pequeña empresa,Açu,Río Grande del Norte,Brasil,Sur,MOB-SI-10003204,Mobiliario,Sillas,"Novimex Silla plegable, 2",675.84,3
46,MX-2021-164959,18/01/2021,17/01/2021,Mismo día,74828323,Julio Corral,Pequeña empresa,Goiânia,Goiás,Brasil,Sur,MOB-SI-10002108,Mobiliario,Sillas,"Novimex Silla plegable, 2",1689.6,3
2792,MX-2021-136770,19/01/2021,17/01/2021,Rápido,95976098,Eugenio Rentería,Empresa,Sancti Spíritus,Sancti Spíritus,Cuba,Caribe,MAT-ET-10000578,Material de oficina,Etiquetas,"Harbour Creations Etiquetas para documentos legales, Duradero",75.6,1
2791,MX-2021-136770,19/01/2021,17/01/2021,Rápido,95976098,Eugenio Rentería,Empresa,Sancti Spíritus,Sancti Spíritus,Cuba,Caribe,TEC-CO-10004259,Tecnología,Copiadoras,"Brother Fotocopiadora personal, 2",2852.0844,3
8803,MX-2021-159877,20/01/2021,14/01/2021,Estándar,33434248,Felicia Montañez,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-AL-10002297,Material de oficina,Almacenamiento,"Tenex Carpetas, Tamaño completo",775,5
8804,MX-2021-159877,20/01/2021,14/01/2021,Estándar,33434248,Felicia Montañez,Empresa,Ciudad de México,Distrito Federal,México,Norte,MAT-ET-10000988,Material de oficina,Etiquetas,"Smead Etiquetas para carpetas de archivos, Duradero",123.6,2
8805,MX-2021-159877,20/01/2021,14/01/2021,Estándar,33434248,Felicia Montañez,Empresa,Ciudad de México,Distrito Federal,México,Norte,MOB-LI-10002222,Mobiliario,Librerías,"Dania Conjunto de estantes, Convencional",2709.6,3
5421,MX-2021-131072,20/01/2021,15/01/2021,Rápido,38086790,Guillermina Farías,Cliente,Portmore,Santa Caterina,Jamaica,Caribe,MAT-ET-10004247,Material de oficina,Etiquetas,"Avery Etiquetas para carpetas de archivos, Duradero",126.8,2
5420,MX-2021-131072,20/01/2021,15/01/2021,Rápido,38086790,Guillermina Farías,Cliente,Portmore,Santa Caterina,Jamaica,Caribe,MOB-ME-10002200,Mobiliario,Mesas,"Lesro Mesa de formación, Negro",5376,3
3975,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,Ángeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,MAT-SO-10000258,Material de oficina,Sobres,"Ames Cierre adhesivo, 50",373.8,3
3976,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,Ángeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,MAT-SO-10001971,Material de oficina,Sobres,"Jiffy Sobre de hebilla, Reciclado",48.8,1
3978,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,Ángeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,MOB-MO-10004422,Mobiliario,Mobiliario,"Tenex Marco, Duradero",7847.4,11
3977,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,Ángeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,TEC-TE-10001353,Tecnología,Teléfonos,"Cisco Teléfono inteligente, Azul",4616,5
3979,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,Ángeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,MAT-ET-10002631,Material de oficina,Etiquetas,"Harbour Creations Etiquetas extraíbles, Rojo",135.6,2
651,MX-2021-141740,20/01/2021,19/01/2021,Urgente,26374058,Benita Pelayo,Cliente,Bogotá,Bogotá,Colombia,Sur,MOB-MO-10004472,Mobiliario,Mobiliario,"Eldon Bombilla, Duradero",148.2,1
650,MX-2021-141740,20/01/2021,19/01/2021,Urgente,26374058,Benita Pelayo,Cliente,Bogotá,Bogotá,Colombia,Sur,MOB-SI-10000410,Mobiliario,Sillas,"Harbour Creations Taburete, Rojo",8405.6,7
3183,MX-2021-144953,21/01/2021,16/01/2021,Estándar,22844845,Simón Gracia,Empresa,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10000005,Tecnología,Teléfonos,"Nokia Base de audio, Tamaños variados",2261.2,2
573,MX-2021-147655,21/01/2021,16/01/2021,Rápido,60995778,Abel Ángel,Cliente,Managua,Managua,Nicaragua,Centro,TEC-AC-10002193,Tecnología,Accesorios,"Belkin Tarjeta de memoria, Blanco",2252.4,3
572,MX-2021-147655,21/01/2021,16/01/2021,Rápido,60995778,Abel Ángel,Cliente,Managua,Managua,Nicaragua,Centro,TEC-AC-10001932,Tecnología,Accesorios,"SanDisk Router, Programable",3438,2
565,MX-2021-101378,22/01/2021,18/01/2021,Estándar,65885143,Urso Valverde,Cliente,Guantánamo,Guantánamo,Cuba,Caribe,TEC-MÁ-10000110,Tecnología,Máquinas,"Konica Impresora de tarjetas, Blanco",2314.4,2
564,MX-2021-101378,22/01/2021,18/01/2021,Estándar,65885143,Urso Valverde,Cliente,Guantánamo,Guantánamo,Cuba,Caribe,MOB-MO-10002863,Mobiliario,Mobiliario,"Rubvermaid Bandeja apiladora, Duradero",443.4,3
563,MX-2021-101378,22/01/2021,18/01/2021,Estándar,65885143,Urso Valverde,Cliente,Guantánamo,Guantánamo,Cuba,Caribe,TEC-TE-10001830,Tecnología,Teléfonos,"Samsung Teléfono inteligente, Tamaños variados",840.6,1
2608,MX-2021-142069,23/01/2021,17/01/2021,Estándar,97195452,Patricio Romo,Cliente,Petapa,Guatemala,Guatemala,Centro,MAT-EL-10003502,Material de oficina,Electrodomésticos,"KitchenAid Frigorífico, Plateado",10573.8,3
2609,MX-2021-142069,23/01/2021,17/01/2021,Estándar,97195452,Patricio Romo,Cliente,Petapa,Guatemala,Guatemala,Centro,TEC-AC-10004281,Tecnología,Accesorios,"Logitech Teclado, Negro",1453.2,3
2610,MX-2021-142069,23/01/2021,17/01/2021,Estándar,97195452,Patricio Romo,Cliente,Petapa,Guatemala,Guatemala,Centro,MAT-SO-10000689,Material de oficina,Sobres,"GlobeWeis Sobres de uso interno, 50",637.6,2
6495,MX-2021-124996,23/01/2021,18/01/2021,Estándar,27925961,Paloma Zamora,Cliente,Bogotá,Bogotá,Colombia,Sur,MOB-MO-10001078,Mobiliario,Mobiliario,"Advantus Bandeja apiladora, Surtido",1233.4,7
8366,MX-2021-137939,23/01/2021,21/01/2021,Rápido,27925961,Paloma Zamora,Cliente,Colima,Colima,México,Norte,MAT-AL-10002072,Material de oficina,Almacenamiento,"Tenex Estanterías, Industrial",735.2,2
2822,MX-2021-156566,26/01/2021,22/01/2021,Estándar,49376651,Eulalia Márquez,Cliente,Arraiján,Panamá,Panamá,Centro,MAT-CA-10004833,Material de oficina,Carpetas,"Cardinal Separadores, Transparente",80.64,3
2820,MX-2021-156566,26/01/2021,22/01/2021,Estándar,49376651,Eulalia Márquez,Cliente,Arraiján,Panamá,Panamá,Centro,MOB-SI-10000410,Mobiliario,Sillas,"Harbour Creations Taburete, Rojo",1440.96,2
2823,MX-2021-156566,26/01/2021,22/01/2021,Estándar,49376651,Eulalia Márquez,Cliente,Arraiján,Panamá,Panamá,Centro,TEC-CO-10002358,Tecnología,Copiadoras,"Canon Fax, Color",3825.1668,3
2819,MX-2021-156566,26/01/2021,22/01/2021,Estándar,49376651,Eulalia Márquez,Cliente,Arraiján,Panamá,Panamá,Centro,MAT-GR-10000029,Material de oficina,Grapas,"Accos Grapadoras, Metal",390,5
2821,MX-2021-156566,26/01/2021,22/01/2021,Estándar,49376651,Eulalia Márquez,Cliente,Arraiján,Panamá,Panamá,Centro,MOB-SI-10001938,Mobiliario,Sillas,"Harbour Creations Sillón, Rojo",11366.64,6
7629,MX-2021-140823,27/01/2021,23/01/2021,Estándar,79825874,Laia Batista,Pequeña empresa,San Luis Potosí,San Luis Potosí,México,Norte,MAT-AL-10002606,Material de oficina,Almacenamiento,"Rogers Archivador móvil, Azul",3776,4
7630,MX-2021-140823,27/01/2021,23/01/2021,Estándar,79825874,Laia Batista,Pequeña empresa,San Luis Potosí,San Luis Potosí,México,Norte,TEC-MÁ-10001912,Tecnología,Máquinas,"Epson Inyección de tinta, Blanco",12265.2,6
86,MX-2021-165925,28/01/2021,23/01/2021,Estándar,76374053,Camilo Almaraz,Cliente,Tuxtla Gutiérrez,Chiapas,México,Norte,MAT-PA-10002682,Material de oficina,Papel,"Green Bar Recordadores, Multicolor",367.2,3
10074,US-2021-117121,28/01/2021,23/01/2021,Estándar,76374053,Camilo Almaraz,Cliente,Presidente Dutra,Maranhão,Brasil,Sur,MAT-PA-10004143,Material de oficina,Papel,"Green Bar Recordadores, Multicolor",146.88,3
6401,MX-2021-129168,28/01/2021,24/01/2021,Estándar,59835375,Constantina Sepúlveda,Cliente,Villa Nueva,Guatemala,Guatemala,Centro,MAT-SO-10002541,Material de oficina,Sobres,"Cameo Cierre adhesivo, Rojo",327.2,2
6400,MX-2021-129168,28/01/2021,24/01/2021,Estándar,59835375,Constantina Sepúlveda,Cliente,Villa Nueva,Guatemala,Guatemala,Centro,TEC-TE-10004082,Tecnología,Teléfonos,"Apple Teléfono de oficina, Tamaños variados",2271,5
4835,MX-2021-166688,29/01/2021,24/01/2021,Rápido,49144522,Crístofer Mayo,Pequeña empresa,Mejicanos,San Salvador,El Salvador,Centro,MAT-SU-10002064,Material de oficina,Suministros,"Fiskars Regla, Azul",288.6,3
5311,US-2021-152744,30/01/2021,25/01/2021,Rápido,20734552,Marta Manzanares,Empresa,Monterrey,Nuevo León,México,Norte,MOB-SI-10000776,Mobiliario,Sillas,"Hon Sillón, Negro",9700.48,4
6854,MX-2021-138317,31/01/2021,29/01/2021,Urgente,54266326,Anabel Caraballo,Pequeña empresa,São Paulo,São Paulo,Brasil,Sur,TEC-TE-10002629,Tecnología,Teléfonos,"Samsung Auriculares, Al por mayor",488.6,1
6853,MX-2021-138317,31/01/2021,29/01/2021,Urgente,54266326,Anabel Caraballo,Pequeña empresa,São Paulo,São Paulo,Brasil,Sur,MAT-ET-10002367,Material de oficina,Etiquetas,"Harbour Creations Etiquetas redondas, Rojo",131.4,3
1640,MX-2021-153584,1/02/2021,25/01/2021,Estándar,48027880,Isabel Coronado,Empresa,Santa Clara,Villa Clara,Cuba,Caribe,MOB-SI-10004718,Mobiliario,Sillas,"SAFCO Sillón, Ajustable",9278.4,3
8075,MX-2021-132444,3/02/2021,28/01/2021,Estándar,45976238,Nicole Argüello,Cliente,Manzanillo,Colima,México,Norte,TEC-AC-10003946,Tecnología,Accesorios,"Belkin Teclado, Blanco",3812.2,7
9330,MX-2021-166814,3/02/2021,29/01/2021,Estándar,47268247,Felipe Olivera,Cliente,Ciudad Juárez,Chihuahua,México,Norte,MAT-AL-10003416,Material de oficina,Almacenamiento,"Fellowes Caja, Azul",918.4,7
9329,MX-2021-166814,3/02/2021,29/01/2021,Estándar,47268247,Felipe Olivera,Cliente,Ciudad Juárez,Chihuahua,México,Norte,MAT-SU-10000999,Material de oficina,Suministros,"Fiskars Tijeras, Industrial",165.2,1
6742,MX-2021-120165,4/02/2021,31/01/2021,Estándar,27428088,Óscar Armendáriz,Cliente,Milpa Alta,Distrito Federal,México,Norte,MOB-MO-10003614,Mobiliario,Mobiliario,"Rubvermaid Reloj, Negro",802.56,4
6740,MX-2021-120165,4/02/2021,31/01/2021,Estándar,27428088,Óscar Armendáriz,Cliente,Milpa Alta,Distrito Federal,México,Norte,MAT-AL-10004185,Material de oficina,Almacenamiento,"Fellowes Caja, Industrial",134.4,1
6741,MX-2021-120165,4/02/2021,31/01/2021,Estándar,27428088,Óscar Armendáriz,Cliente,Milpa Alta,Distrito Federal,México,Norte,MAT-AL-10002234,Material de oficina,Almacenamiento,"Tenex Estanterías, Azul",1093.2,3
7434,MX-2021-147599,4/02/2021,1/02/2021,Urgente,97757688,Cipriano Lucero,Cliente,San Cristóbal de Las Casas,Chiapas,México,Norte,MAT-GR-10002864,Material de oficina,Grapas,"Advantus Pasadores, Paquete de 12",277.2,3
7433,MX-2021-147599,4/02/2021,1/02/2021,Urgente,97757688,Cipriano Lucero,Cliente,San Cristóbal de Las Casas,Chiapas,México,Norte,MOB-SI-10004976,Mobiliario,Sillas,"Hon Taburete, Negro",2579.52,3
4675,MX-2021-160724,5/02/2021,29/01/2021,Estándar,58734295,Constantino Padilla,Pequeña empresa,Soyapango,San Salvador,El Salvador,Centro,MOB-SI-10000131,Mobiliario,Sillas,"Hon Silla de playa, Ajustable",317.6,1
3620,MX-2021-165841,5/02/2021,31/01/2021,Estándar,89154331,Tomás Arredondo,Cliente,San Salvador,San Salvador,El Salvador,Centro,MAT-SO-10001330,Material de oficina,Sobres,"Cameo Sobre de hebilla, 50",253.6,4
6577,MX-2021-143924,6/02/2021,1/02/2021,Rápido,82776487,Manila Roque,Cliente,David,Chiriquí,Panamá,Centro,MOB-SI-10000485,Mobiliario,Sillas,"Novimex Estora, 2",468.72,2
6578,MX-2021-143924,6/02/2021,1/02/2021,Rápido,82776487,Manila Roque,Cliente,David,Chiriquí,Panamá,Centro,MAT-AL-10002190,Material de oficina,Almacenamiento,"Tenex Casilleros, Metal",2438.64,3
6579,MX-2021-143924,6/02/2021,1/02/2021,Rápido,82776487,Manila Roque,Cliente,David,Chiriquí,Panamá,Centro,TEC-AC-10003789,Tecnología,Accesorios,"Memorex Memoria USB, Económico",705.6,6
4003,MX-2021-154466,6/02/2021,4/02/2021,Urgente,36946450,Adela Blanco,Pequeña empresa,Bayamo,Granma,Cuba,Caribe,MAT-SO-10003115,Material de oficina,Sobres,"Ames Sobre de tipo Manila, Plateado",541.8,3
4002,MX-2021-154466,6/02/2021,4/02/2021,Urgente,36946450,Adela Blanco,Pequeña empresa,Bayamo,Granma,Cuba,Caribe,MAT-AL-10001458,Material de oficina,Almacenamiento,"Smead Bandejas, Azul",323.2,1
2446,US-2021-141719,7/02/2021,2/02/2021,Estándar,87387952,Hugo Tomás,Cliente,San Miguelito,Panamá,Panamá,Centro,MAT-AR-10000895,Material de oficina,Arte,"Sanford Sacapuntas, Metal",216.72,2
2448,US-2021-141719,7/02/2021,2/02/2021,Estándar,87387952,Hugo Tomás,Cliente,San Miguelito,Panamá,Panamá,Centro,MAT-AL-10004000,Material de oficina,Almacenamiento,"Rogers Bandejas, Metal",972,4
2447,US-2021-141719,7/02/2021,2/02/2021,Estándar,87387952,Hugo Tomás,Cliente,San Miguelito,Panamá,Panamá,Centro,MAT-SU-10004093,Material de oficina,Suministros,"Elite Cúter, Industrial",292.08,2
9563,MX-2021-167402,7/02/2021,4/02/2021,Urgente,58644396,Ofelia Maya,Pequeña empresa,Milpa Alta,Distrito Federal,México,Norte,TEC-TE-10004222,Tecnología,Teléfonos,"Nokia Teléfono inteligente, Tamaño completo",3318.4,4
2284,MX-2021-151449,9/02/2021,5/02/2021,Estándar,40567568,Tania Naranjo,Cliente,La Ceiba,Atlántida,Honduras,Centro,MOB-SI-10004799,Mobiliario,Sillas,"SAFCO Silla de playa, 2",413.52,2
1417,MX-2021-125220,9/02/2021,5/02/2021,Estándar,75946196,Hortensia Quiñones,Cliente,Cojutepeque,Cuscatlán,El Salvador,Centro,MAT-CA-10002437,Material de oficina,Carpetas,"Cardinal Separadores, Económico",96.8,2
2383,MX-2021-117352,9/02/2021,5/02/2021,Rápido,82537786,Aída Vélez,Cliente,Mixco,Guatemala,Guatemala,Centro,TEC-TE-10000677,Tecnología,Teléfonos,"Nokia Cargador, Tamaños variados",29815.8,7
6506,MX-2021-155306,11/02/2021,5/02/2021,Estándar,36174491,Samuel Alemán,Cliente,Nicolás Romero,México,México,Norte,MOB-SI-10002564,Mobiliario,Sillas,"Novimex Silla plegable, Negro",1702.4,4
5710,MX-2021-144813,11/02/2021,5/02/2021,Estándar,72096757,Ania Gámez,Empresa,Anápolis,Goiás,Brasil,Sur,MOB-SI-10001844,Mobiliario,Sillas,"Office Star Estora, Ajustable",2732.4,6
8473,MX-2021-105872,11/02/2021,7/02/2021,Estándar,67835257,Cornelio Sauceda,Cliente,Quetzaltenango,Quezaltenango,Guatemala,Centro,TEC-AC-10002497,Tecnología,Accesorios,"Enermax Ratón, Negro",810,3
8472,MX-2021-105872,11/02/2021,7/02/2021,Estándar,67835257,Cornelio Sauceda,Cliente,Quetzaltenango,Quezaltenango,Guatemala,Centro,MAT-CA-10004637,Material de oficina,Carpetas,"Avery Cubierta de carpeta, Económico",73.8,1
8118,MX-2021-156867,11/02/2021,7/02/2021,Rápido,92854857,Noa León,Cliente,Iguala de la Independencia,Guerrero,México,Norte,MOB-LI-10004334,Mobiliario,Librerías,"Safco Librería clásica, Metal",18671.36,8
8117,MX-2021-156867,11/02/2021,7/02/2021,Rápido,92854857,Noa León,Cliente,Iguala de la Independencia,Guerrero,México,Norte,MAT-AR-10000923,Material de oficina,Arte,"Stanley Bolígrafos, Al por mayor",137.6,2
915,MX-2021-107699,12/02/2021,8/02/2021,Estándar,55267527,Homero Elizondo,Empresa,Zapopan,Jalisco,México,Norte,TEC-TE-10001364,Tecnología,Teléfonos,"Cisco Base de audio, Tamaños variados",6164,5
5253,MX-2021-124772,14/02/2021,7/02/2021,Estándar,94747774,Isidoro Muñoz,Empresa,Milpa Alta,Distrito Federal,México,Norte,MAT-SU-10003623,Material de oficina,Suministros,"Fiskars Cizallas, Industrial",1642,5
2185,US-2021-161830,14/02/2021,11/02/2021,Urgente,81626473,Delia Miramontes,Cliente,Colón,Colón,Panamá,Centro,MAT-SU-10001433,Material de oficina,Suministros,"Kleencut Cúter, Acero",272.4,2
8624,MX-2021-115518,15/02/2021,11/02/2021,Estándar,68644980,Lara Cantú,Empresa,Nueva Gerona,Isla de la Juventud,Cuba,Caribe,MAT-PA-10000553,Material de oficina,Papel,"SanDisk Agenda, Premium",476.4,3
8626,MX-2021-115518,15/02/2021,11/02/2021,Estándar,68644980,Lara Cantú,Empresa,Nueva Gerona,Isla de la Juventud,Cuba,Caribe,MOB-MO-10001134,Mobiliario,Mobiliario,"Advantus Reloj, Duradero",1614,5
8625,MX-2021-115518,15/02/2021,11/02/2021,Estándar,68644980,Lara Cantú,Empresa,Nueva Gerona,Isla de la Juventud,Cuba,Caribe,MAT-GR-10000952,Material de oficina,Grapas,"Stockwell Clips, Tamaños variados",146,2
6673,US-2021-117121,15/02/2021,11/02/2021,Estándar,58648643,Osvaldo Montano,Cliente,San Pedro Sula,Cortés,Honduras,Centro,MAT-GR-10001163,Material de oficina,Grapas,"OIC Grapas, Al por mayor",226.8,5
6674,US-2021-117121,15/02/2021,11/02/2021,Estándar,58648643,Osvaldo Montano,Cliente,San Pedro Sula,Cortés,Honduras,Centro,TEC-AC-10001680,Tecnología,Accesorios,"Memorex Router, Negro",985.68,1
7647,MX-2021-110898,15/02/2021,14/02/2021,Urgente,66834932,Cristian Ferro,Cliente,Ciudad de México,Distrito Federal,México,Norte,TEC-TE-10000728,Tecnología,Teléfonos,"Nokia Auriculares, Tamaño completo",992,2
7646,MX-2021-110898,15/02/2021,14/02/2021,Urgente,66834932,Cristian Ferro,Cliente,Ciudad de México,Distrito Federal,México,Norte,MAT-CA-10002556,Material de oficina,Carpetas,"Acco Encuadernadora, Duradero",1051.8,3
3287,MX-2021-135797,17/02/2021,13/02/2021,Estándar,70935785,Noemí González,Cliente,Zapopan,Jalisco,México,Norte,MAT-CA-10000714,Material de oficina,Carpetas,"Acco Anillas, Económico",133.2,3
